HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0000064	OG0000004	n99	XP_057371776.1	CAH0101282.1	XP_032784443.2, XP_045029005.1		XP_046457428.1	XP_046646591.1	KAI9558436.1
N0.HOG0000065	OG0000005	n4	XP_057368577.1	CAH0100637.1, CAH0104689.1	XP_032782550.2	Daphnia00623-RA	XP_046458989.1	XP_046637922.1	
N0.HOG0000066	OG0000005	n10	XP_057368576.1	CAH0110681.1, CAH0110680.1	XP_045027795.1	Daphnia00660-RA, Daphnia00659-RA			
N0.HOG0000067	OG0000005	n15		CAH0107322.1, CAH0107051.1			XP_046458999.1		
N0.HOG0000068	OG0000005	n17	XP_057368938.1, XP_057368936.1, XP_057368937.1	CAH0107879.1, CAH0107050.1	XP_045027800.1		XP_046457273.1, XP_046457163.1, XP_046459000.1, XP_046459003.1, XP_046459001.1, XP_046459004.1	XP_046646113.1, XP_046645803.1, XP_046637947.1	KAI9559203.1
N0.HOG0000069	OG0000005	n33	XP_057368741.1		XP_045027801.1				KAI9559206.1
N0.HOG0000070	OG0000005	n37	XP_057380243.1	CAH0103835.1	XP_032782130.2		XP_046459992.1		KAI9557977.1
N0.HOG0000071	OG0000005	n43	XP_057368742.1, XP_057368748.1		XP_045027839.1, XP_045027802.1		XP_046459008.1		KAI9559204.1, KAI9559207.1, KAI9559205.1
N0.HOG0000072	OG0000005	n50	XP_057368743.1		XP_045027803.1		XP_046459011.1, XP_046459006.1, XP_046459007.1, XP_046459005.1	XP_046637988.1, XP_046637994.1, XP_046638008.1	KAI9559208.1
N0.HOG0000073	OG0000005	n60			XP_032782555.2		XP_046459010.1, XP_046459013.1	XP_046638201.1, XP_046638095.1	KAI9559209.1
N0.HOG0000074	OG0000005	n67	XP_057368501.1	CAH0104249.1, CAH0104247.1	XP_032783941.2	Daphnia00075-RB	XP_046459325.1, XP_046459326.1, XP_046459327.1	XP_046645844.1, XP_046645871.1, XP_046645872.1	KAI9558723.1, KAI9558721.1
N0.HOG0000075	OG0000005	n80	XP_057368579.1	CAH0107938.1	XP_032781855.2	Daphnia00619-RA	XP_046458988.1	XP_046638044.1	KAI9559182.1
N0.HOG0000076	OG0000005	n86	XP_057368434.1	CAH0107939.1	XP_032782558.2		XP_046458991.1	XP_046638033.1	KAI9559183.1
N0.HOG0000077	OG0000005	n91	XP_057368630.1	CAH0104688.1, CAH0107327.1, CAH0107320.1	XP_032783152.2		XP_046459012.1, XP_046459042.1, XP_046459046.1	XP_046638034.1, XP_046637997.1, XP_046638074.1	KAI9559219.1
N0.HOG0000078	OG0000006	n1	XP_057380206.1		XP_032783107.1		XP_046459882.1	XP_046647316.1	KAI9557908.1
N0.HOG0000079	OG0000006	n6	XP_057379851.1, XP_057379714.1, XP_057379852.1, XP_057379791.1, XP_057379850.1, XP_057379713.1		XP_032784135.2, XP_032781879.1, XP_045028582.1, XP_032791602.1, XP_045028454.1, XP_032784015.2, XP_032784194.1, XP_045028332.1				KAI9558153.1, KAI9558150.1, KAI9558216.1, KAI9558178.1, KAI9558191.1, KAI9558198.1, KAI9558201.1, KAI9558170.1
N0.HOG0000080	OG0000006	n31			XP_032783146.1			XP_046647317.1	
N0.HOG0000081	OG0000006	n52			XP_045034162.1			XP_046647323.1	
N0.HOG0000082	OG0000006	n63	XP_057380266.1		XP_032782154.1			XP_046647339.1, XP_046647324.1, XP_046647327.1, XP_046647325.1	
N0.HOG0000083	OG0000006	n68			XP_032784013.1			XP_046647335.1	
N0.HOG0000084	OG0000006	n69			XP_032782155.1		XP_046458687.1	XP_046647331.1	
N0.HOG0000085	OG0000006	n71	XP_057379853.1				XP_046458545.1		KAI9552637.1
N0.HOG0000086	OG0000006	n73			XP_045028846.1		XP_046459883.1		
N0.HOG0000087	OG0000006	n74					XP_046459884.1	XP_046647731.1	
N0.HOG0000088	OG0000006	n75	XP_057379854.1				XP_046459959.1		
N0.HOG0000089	OG0000006	n76					XP_046459958.1		KAI9552612.1
N0.HOG0000090	OG0000006	n77					XP_046458470.1	XP_046647333.1	
N0.HOG0000091	OG0000006	n78					XP_046458472.1	XP_046647334.1	
N0.HOG0000092	OG0000006	n79			XP_032781877.1			XP_046647332.1	
N0.HOG0000093	OG0000006	n80					XP_046458393.1	XP_046647337.1	
N0.HOG0000094	OG0000006	n81					XP_046458099.1	XP_046647322.1	
N0.HOG0000095	OG0000006	n82	XP_057379855.1				XP_046458469.1	XP_046647318.1	
N0.HOG0000096	OG0000006	n84					XP_046458471.1	XP_046647343.1	
N0.HOG0000097	OG0000006	n85	XP_057380267.1				XP_046458689.1, XP_046458688.1	XP_046647336.1, XP_046647328.1	
N0.HOG0000098	OG0000006	n89	XP_057380079.1		XP_032782649.2		XP_046453006.1		KAI9558181.1, KAI9557985.1, KAI9557989.1, KAI9558117.1, KAI9558114.1, KAI9558134.1
N0.HOG0000099	OG0000007	n2	XP_057374549.1	CAH0109752.1			XP_046446560.1	XP_046652842.1	KAI9565749.1
N0.HOG0000100	OG0000007	n6	XP_057374537.1	CAH0109754.1	XP_045026284.1, XP_045026283.1, XP_045026282.1, XP_032776648.2	Daphnia12557-RA	XP_046446554.1		KAI9565752.1
N0.HOG0000101	OG0000007	n17	XP_057378184.1, XP_057378183.1		XP_032796335.2		XP_046455278.1	XP_046656410.1	KAI9553460.1
N0.HOG0000102	OG0000007	n22	XP_057370358.1		XP_032776755.2	Daphnia12487-RA	XP_046446347.1	XP_046635087.1	KAI9565355.1
N0.HOG0000103	OG0000007	n27	XP_057373712.1		XP_032788180.2	Daphnia12475-RB, Daphnia01943-RA	XP_046439216.1, XP_046439215.1	XP_046641462.1, XP_046641470.1	KAI9556797.1
N0.HOG0000104	OG0000007	n36	XP_057380534.1	CAH0105664.1	XP_045029514.1		XP_046452430.1	XP_046634697.1	KAI9554691.1
N0.HOG0000105	OG0000007	n42	XP_057374554.1		XP_045026277.1, XP_045026279.1, XP_045026278.1		XP_046447421.1	XP_046633034.1, XP_046636012.1, XP_046636013.1, XP_046635971.1	KAI9565777.1, KAI9565755.1
N0.HOG0000106	OG0000007	n54	XP_057374544.1		XP_045026285.1, XP_032776646.2	Daphnia12079-RA		XP_046635972.1, XP_046635973.1	KAI9565761.1
N0.HOG0000107	OG0000007	n60	XP_057374453.1, XP_057374442.1		XP_045026286.1		XP_046446567.1	XP_046652850.1	KAI9565753.1
N0.HOG0000108	OG0000007	n66					XP_046456065.1, XP_046456063.1, XP_046456064.1	XP_046657366.1, XP_046657365.1	
N0.HOG0000109	OG0000007	n71			XP_045026287.1, XP_045026288.1		XP_046446568.1	XP_046634572.1, XP_046634488.1, XP_046634556.1, XP_046634555.1, XP_046652853.1, XP_046652856.1, XP_046652854.1, XP_046652857.1, XP_046634486.1, XP_046652852.1, XP_046634487.1, XP_046652851.1	KAI9565754.1
N0.HOG0000110	OG0000007	n86	XP_057370164.1		XP_045024838.1	Daphnia12474-RA	XP_046446325.1	XP_046635101.1	KAI9565333.1
N0.HOG0000111	OG0000008	n1	XP_057369896.1		XP_032777303.1		XP_046442902.1	XP_046650462.1	KAI9564910.1
N0.HOG0000112	OG0000008	n10							KAI9558135.1, KAI9557986.1
N0.HOG0000113	OG0000008	n13					XP_046458462.1	XP_046647389.1	
N0.HOG0000114	OG0000008	n24	XP_057379861.1					XP_046644244.1	
N0.HOG0000115	OG0000008	n54	XP_057370901.1		XP_032784019.2		XP_046458599.1	XP_046647390.1	
N0.HOG0000116	OG0000008	n57			XP_032784009.1			XP_046647387.1	
N0.HOG0000117	OG0000008	n58					XP_046459876.1	XP_046647283.1	
N0.HOG0000118	OG0000008	n59	XP_057380116.1		XP_032784146.1			XP_046647286.1	
N0.HOG0000119	OG0000008	n61					XP_046458093.1	XP_046647279.1	
N0.HOG0000120	OG0000008	n62	XP_057379793.1					XP_046647285.1	KAI9558154.1
N0.HOG0000121	OG0000008	n64					XP_046458677.1	XP_046647270.1	
N0.HOG0000122	OG0000008	n65	XP_057379720.1				XP_046457964.1		KAI9552610.1
N0.HOG0000123	OG0000008	n67					XP_046458502.1	XP_046647388.1	
N0.HOG0000124	OG0000008	n68					XP_046458460.1	XP_046647281.1	
N0.HOG0000125	OG0000008	n69			XP_032793114.1		XP_046458598.1		
N0.HOG0000126	OG0000008	n70					XP_046458600.1	XP_046647391.1	
N0.HOG0000127	OG0000008	n71			XP_032782151.1			XP_046647269.1	
N0.HOG0000128	OG0000008	n72	XP_057380086.1					XP_046647384.1	
N0.HOG0000129	OG0000008	n73					XP_046457963.1	XP_046647284.1	
N0.HOG0000130	OG0000008	n74			XP_032782150.1		XP_046458680.1		
N0.HOG0000131	OG0000008	n75			XP_032782143.2		XP_046458507.1	XP_046647392.1	
N0.HOG0000132	OG0000008	n77			XP_032783143.2				KAI9558177.1
N0.HOG0000133	OG0000008	n78					XP_046458542.1	XP_046647277.1	
N0.HOG0000134	OG0000008	n79	XP_057379860.1				XP_046458392.1		
N0.HOG0000135	OG0000008	n80	XP_057379846.1, XP_057380263.1, XP_057380272.1		XP_032783098.1		XP_046459875.1	XP_046647278.1	KAI9564534.1, KAI9552639.1, KAI9558182.1
N0.HOG0000136	OG0000008	n88			XP_032784192.1			XP_046647271.1	
N0.HOG0000137	OG0000008	n89			XP_032783144.1			XP_046647280.1	
N0.HOG0000138	OG0000009	n2	XP_057376540.1, XP_057380305.1, XP_057379669.1						
N0.HOG0000139	OG0000009	n6	XP_057378039.1, XP_057376028.1						
N0.HOG0000140	OG0000009	n10			XP_045035900.1, XP_045026269.1			XP_046649264.1, XP_046654947.1	
N0.HOG0000141	OG0000009	n13			XP_045033914.1			XP_046651134.1	
N0.HOG0000142	OG0000009	n14			XP_045023173.1, XP_045023365.1			XP_046654942.1	
N0.HOG0000143	OG0000009	n17			XP_045033912.1, XP_045032064.1, XP_045023412.1, XP_045036470.1, XP_045033916.1				
N0.HOG0000144	OG0000009	n22			XP_045023761.1, XP_045023498.1, XP_045025192.1, XP_045028164.1				
N0.HOG0000145	OG0000009	n27	XP_057377375.1		XP_045023941.1				
N0.HOG0000146	OG0000009	n30	XP_057366947.1, XP_057376190.1						
N0.HOG0000147	OG0000009	n33	XP_057380669.1	CAH0105602.1, CAH0106843.1			XP_046451484.1, XP_046446873.1, XP_046451202.1	XP_046647743.1, XP_046649331.1, XP_046650993.1, XP_046655008.1	
N0.HOG0000148	OG0000009	n44			XP_045031141.1			XP_046647797.1	
N0.HOG0000149	OG0000009	n45			XP_045023009.1			XP_046634579.1	KAI9551057.1
N0.HOG0000150	OG0000009	n47	XP_057381575.1, XP_057379645.1, XP_057374755.1		XP_045023018.1, XP_045024055.1, XP_045027713.1				
N0.HOG0000151	OG0000009	n52			XP_045024076.1, XP_045034587.1				KAI9554965.1
N0.HOG0000152	OG0000009	n54	XP_057380651.1, XP_057379663.1, XP_057380657.1, XP_057366955.1, XP_057380926.1	CAH0105518.1	XP_045034629.1, XP_045025161.1, XP_045032661.1, XP_045032663.1, XP_045032598.1, XP_045032667.1		XP_046462859.1, XP_046445171.1, XP_046462901.1, XP_046443746.1, XP_046456316.1	XP_046654915.1, XP_046654939.1, XP_046654914.1, XP_046654918.1, XP_046654917.1, XP_046654938.1, XP_046654940.1, XP_046654916.1, XP_046632671.1, XP_046633716.1, XP_046635434.1, XP_046640201.1, XP_046647745.1, XP_046630704.1, XP_046641606.1	KAI9555047.1, KAI9558445.1
N0.HOG0000153	OG0000010	n12			XP_032782158.1		XP_046459961.1		
N0.HOG0000154	OG0000010	n26	XP_057371280.1		XP_032782499.1, XP_032784198.1		XP_046457968.1, XP_046459890.1, XP_046458474.1	XP_046650496.1	
N0.HOG0000155	OG0000010	n32			XP_032799846.1		XP_046458390.1		
N0.HOG0000156	OG0000010	n33	XP_057380271.1		XP_032784017.1				
N0.HOG0000157	OG0000010	n34			XP_032778381.1		XP_046459892.1		
N0.HOG0000158	OG0000010	n35			XP_032784136.1			XP_046647358.1	
N0.HOG0000159	OG0000010	n36	XP_057379858.1				XP_046459889.1	XP_046647364.1	
N0.HOG0000160	OG0000010	n38			XP_045034163.1		XP_046458100.1		
N0.HOG0000161	OG0000010	n39			XP_032783148.1			XP_046647369.1	
N0.HOG0000162	OG0000010	n40	XP_057379792.1		XP_032783102.1				
N0.HOG0000163	OG0000010	n41			XP_032784199.1		XP_046458610.1	XP_046647371.1	
N0.HOG0000164	OG0000010	n43			XP_045028455.1		XP_046458612.1	XP_046647367.1	
N0.HOG0000165	OG0000010	n69	XP_057380120.1		XP_032782157.1		XP_046458692.1	XP_046647399.1	
N0.HOG0000166	OG0000010	n72	XP_057380209.1		XP_032781880.1		XP_046457970.1	XP_046647360.1	
N0.HOG0000167	OG0000010	n75	XP_057379856.1					XP_046647355.1	
N0.HOG0000168	OG0000010	n76					XP_046459960.1	XP_046647359.1	
N0.HOG0000169	OG0000010	n77					XP_046458475.1	XP_046647362.1	
N0.HOG0000170	OG0000010	n78					XP_046459891.1	XP_046647398.1	
N0.HOG0000171	OG0000010	n79					XP_046458611.1	XP_046647365.1	
N0.HOG0000172	OG0000010	n80	XP_057379715.1				XP_046458691.1		
N0.HOG0000173	OG0000010	n81	XP_057379862.1					XP_046647356.1	
N0.HOG0000174	OG0000010	n82	XP_057380220.1				XP_046458096.1	XP_046647357.1	
N0.HOG0000175	OG0000010	n84					XP_046458506.1	XP_046647354.1	
N0.HOG0000176	OG0000011	n1	XP_057369375.1	CAH0111101.1	XP_032784031.2	Daphnia00769-RA	XP_046457985.1	XP_046637942.1, XP_046637851.1	KAI9559363.1
N0.HOG0000177	OG0000011	n9		CAH0111100.1, CAH0105844.1	XP_032784028.2		XP_046456193.1, XP_046456190.1	XP_046638612.1, XP_046637852.1	KAI9559362.1
